,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
4241,Hieracium villosum,8.8,2.3,x,8.5,2.8,0.0
4242,Hieracium villosum aggr.,NA,3.0,NA,NA,NA,NA
4243,Hieracium virosum,7.5,3.5,5.3,NA,NA,NA
4244,Hierochloe australis,5.9,6.2,4.1,x,3.2,0.0
4245,Hierochloe hirta,8.0,6.0,7.0,6.0,4.0,0.0
4246,Hierochloe odorata,6.2,4.8,7.7,4.8,2.8,0.0
4247,Hierochloe odorata aggr.,6.0,5.5,6.0,5.0,3.0,0.0
4248,Hierochloe repens,6.3,5.3,4.3,6.0,3.5,0.0
4249,Himantoglossum adriaticum,7.0,7.5,4.0,8.0,3.0,0.0
4250,Himantoglossum affine,5.0,10.0,4.0,7.0,4.0,0.0
4251,Himantoglossum caprinum,6.5,x,4.8,7.0,4.0,0.0
4252,Himantoglossum comperianum,6.0,x,4.8,7.0,NA,0.0
4253,Himantoglossum hircinum,7.4,7.2,2.8,8.6,2.0,0.0
4254,Himantoglossum hircinum aggr.,NA,8.0,NA,NA,NA,NA
4255,Himantoglossum robertianum,7.3,9.3,4.0,6.7,5.0,0.0
4256,Hippocrepis biflora,8.0,10.0,2.5,6.0,4.5,0.0
4257,Hippocrepis ciliata,8.0,10.0,2.5,8.0,4.5,0.5
4258,Hippocrepis commutata,9.0,6.0,1.0,8.0,1.0,NA
4259,Hippocrepis comosa,7.8,5.2,2.9,7.4,2.0,0.0
4260,Hippocrepis cyclocarpa,8.0,12.0,1.0,8.0,5.0,1.0
4261,Hippocrepis emerus,6.9,x,3.6,8.6,3.0,0.2
4262,Hippocrepis glauca,9.0,9.0,2.0,8.0,1.0,0.0
4263,Hippocrepis multisiliquosa,8.5,10.0,2.0,8.0,2.0,0.5
4264,Hippocrepis scorpioides,8.0,6.0,4.0,8.0,4.0,0.0
4265,Hippocrepis unisiliquosa,8.0,11.0,2.5,8.0,5.0,0.0
4266,Hippophae rhamnoides,8.6,6.0,4.9,8.0,3.0,0.8
4267,Hippuris lanceolata,7.5,4.3,9.0,NA,NA,NA
4268,Hippuris vulgaris,7.1,5.1,10.5,7.3,4.8,0.3
4269,Hirschfeldia incana,8.4,x,3.0,7.1,5.6,0.0
4270,Hirtellina fruticosa,8.0,NA,2.0,8.0,3.0,0.0
4271,Hispidella hispanica,8.7,7.3,1.9,3.9,2.1,0.0
4272,Hladnikia pastinacifolia,NA,5.0,NA,NA,NA,NA
4273,Holcus annuus,7.0,6.0,4.0,4.0,3.0,0.0
4274,Holcus gayanus,9.0,7.0,1.0,2.0,1.0,NA
4275,Holcus lanatus,7.2,x,x,5.5,4.7,0.5
4276,Holcus mollis,6.3,x,5.6,2.7,3.0,0.0
4277,Holcus notarisii,7.0,7.0,4.0,4.0,3.0,0.0
4278,Holosteum umbellatum,8.3,x,3.2,7.0,2.9,0.0
4279,Homogyne alpina,6.4,3.5,6.4,3.5,1.8,0.0
4280,Homogyne discolor,8.5,1.7,6.5,7.5,4.0,0.0
4281,Homogyne sylvestris,4.0,4.5,5.0,5.0,3.0,0.0
4282,Honckenya peploides,8.8,5.3,5.8,7.0,6.8,4.5
4283,Hordelymus europaeus,4.0,5.0,x,7.1,x,0.4
4284,Hordeum bulbosum,7.9,x,4.4,6.3,5.7,0.0
4285,Hordeum geniculatum,8.9,4.9,x,7.0,6.0,6.3
4286,Hordeum marinum,8.9,x,x,6.9,x,4.7
4287,Hordeum murinum,8.1,x,3.9,6.9,6.4,0.4
4288,Hordeum secalinum,8.2,6.8,x,5.8,5.2,1.6
4289,Hordeum vulgare,8.3,x,4.5,6.8,6.2,0.0
4290,Hormathophylla ligustica,7.0,x,2.0,7.0,2.0,0.0
4291,Hormathophylla purpurea,NA,NA,3.6,NA,NA,NA
4292,Hormathophylla spinosa,9.0,4.0,1.0,7.0,2.0,NA
4293,Horminum pyrenaicum,8.5,2.4,4.8,8.0,1.8,0.0
4294,Hormuzakia aggregata,8.5,11.5,1.0,7.0,5.0,1.0
4295,Hornungia alpina,8.7,2.0,x,7.5,1.8,0.0
4296,Hornungia pauciflora,8.0,4.0,3.0,7.0,7.0,0.0
4297,Hornungia petraea,8.3,x,2.0,7.8,1.7,0.0
4298,Hornungia procumbens,8.1,x,4.3,8.0,7.0,4.0
4299,Horstrissea dolinicola,8.0,8.0,6.0,6.0,5.0,0.0
4300,Hottonia palustris,6.6,6.1,11.0,5.5,4.7,0.0
4301,Humulus lupulus,6.7,6.2,7.9,6.7,7.9,0.0
4302,Huperzia selago,x,3.4,x,2.7,3.7,0.0
4303,Hyacinthella leucophaea,8.0,5.8,4.0,NA,NA,NA
4304,Hyacinthella pallasiana,8.0,5.8,4.0,NA,NA,NA
4305,Hyacinthoides hispanica,7.0,7.3,3.7,4.7,x,0.0
4306,Hyacinthoides italica,9.0,8.0,2.0,4.0,2.0,0.0
4307,Hyacinthoides non-scripta,x,x,x,5.6,5.0,0.0
4308,Hyacinthus orientalis,7.0,7.0,4.0,6.0,5.0,0.0
4309,Hydrilla verticillata,6.3,5.5,12.0,8.7,3.7,0.0
4310,Hydrocharis morsus-ranae,7.3,x,11.1,6.8,6.7,0.0
4311,Hydrocotyle sibthorpioides,9.0,8.0,9.0,4.0,3.0,0.0
4312,Hydrocotyle vulgaris,x,x,8.9,x,2.8,0.4
4313,Hylotelephium anacampseros,8.5,3.0,3.0,2.0,1.0,0.0
4314,Hylotelephium maximum,7.3,5.7,3.9,6.0,3.4,0.0
4315,Hylotelephium telephium,7.6,5.0,x,x,4.0,0.2
4316,Hylotelephium telephium aggr.,7.0,6.0,4.0,5.0,4.0,0.0
4317,Hylotelephium vulgare,7.0,5.0,6.8,NA,NA,NA
4318,Hymenocarpos circinnatus,8.0,10.0,2.5,6.5,x,0.0
4319,Hymenonema graecum,7.0,11.0,4.0,8.0,4.0,2.0
4320,Hymenophyllum tunbrigense,x,7.0,x,3.4,4.0,0.0
4321,Hymenophyllum wilsonii,5.0,NA,5.0,3.0,3.0,0.0
4322,Hyoscyamus albus,8.0,8.6,3.3,7.7,8.5,0.5
4323,Hyoscyamus aureus,7.0,11.0,NA,9.0,9.0,1.0
4324,Hyoscyamus niger,8.1,6.3,4.0,7.0,8.5,0.1
4325,Hyoseris frutescens,9.0,8.0,2.0,7.0,1.0,0.0
4326,Hyoseris lucida,8.0,11.0,4.0,9.0,8.0,3.0
4327,Hyoseris radiata,8.5,8.9,3.0,7.5,3.3,1.3
4328,Hyoseris scabra,8.0,10.0,4.0,7.5,x,0.5
4329,Hyoseris taurina,9.0,10.0,1.0,7.0,1.0,0.0
4330,Hyparrhenia hirta,8.7,10.3,2.7,7.7,3.7,0.3
4331,Hyparrhenia sinaica,9.0,9.0,2.0,8.0,3.0,0.0
4332,Hypecoum imberbe,8.5,8.0,1.5,5.5,x,0.0
4333,Hypecoum pendulum,9.0,8.0,3.0,8.0,6.0,0.0
4334,Hypecoum procumbens,8.5,10.0,2.5,6.5,x,1.0
4335,Hypecoum torulosum,9.0,12.0,3.0,8.0,6.0,2.0
4336,Hypericum aciferum,7.0,11.0,1.0,8.0,3.0,0.0
4337,Hypericum aegypticum,8.5,11.0,1.5,7.0,x,1.5
4338,Hypericum amblycalyx,7.0,11.0,3.0,6.0,4.0,0.0
4339,Hypericum androsaemum,5.5,7.0,6.8,5.5,5.3,0.0
4340,Hypericum annulatum,5.0,7.0,3.0,3.0,2.0,0.0
4341,Hypericum atomarium,3.0,10.0,5.0,8.0,5.0,0.0
4342,Hypericum australe,7.5,8.0,5.0,6.5,6.0,0.0
4343,Hypericum barbatum,6.5,6.3,6.0,6.5,4.0,0.0
4344,Hypericum calycinum,5.0,8.0,7.0,5.0,5.0,0.0
4345,Hypericum caprifolium,7.6,NA,7.2,6.9,3.9,1.1
4346,Hypericum coris,9.0,6.0,2.0,7.0,1.0,0.0
4347,Hypericum cuisinii,8.0,11.0,2.0,8.0,4.0,1.0
4348,Hypericum elegans,7.6,6.5,3.4,8.3,2.3,0.0
4349,Hypericum elodes,8.2,x,9.8,3.0,2.0,0.0
4350,Hypericum empetrifolium,7.0,10.0,3.3,7.0,1.8,0.0
4351,Hypericum hircinum,5.5,8.8,x,x,x,0.0
4352,Hypericum hirsutum,6.7,x,4.9,6.9,x,0.0
4353,Hypericum humifusum,7.1,5.6,6.7,x,2.9,0.0
4354,Hypericum hyssopifolium,7.0,6.3,2.3,7.3,2.0,0.0
4355,Hypericum jovis,7.0,10.0,3.0,8.0,3.0,0.0
4356,Hypericum kelleri,8.0,8.0,6.0,6.0,5.0,0.0
4357,Hypericum linarifolium,7.7,6.5,3.0,3.0,1.7,0.0
4358,Hypericum linarioides,7.5,5.5,5.0,NA,NA,NA
4359,Hypericum lydium,8.0,5.5,4.5,NA,NA,NA
4360,Hypericum maculatum aggr.,7.3,4.1,5.7,3.7,2.9,0.0
4361,Hypericum montanum,6.0,5.8,4.0,7.1,2.7,0.0
4362,Hypericum montbretii,5.7,NA,5.6,6.2,4.6,0.0
4363,Hypericum nummularium,8.0,3.5,5.0,8.0,1.0,0.0
4364,Hypericum olympicum,NA,8.0,NA,NA,NA,NA
4365,Hypericum perfoliatum,7.0,8.7,4.7,5.0,4.3,0.3
4366,Hypericum perforatum,7.3,x,3.9,6.1,3.9,0.1
4367,Hypericum pubescens,8.0,9.0,8.0,4.0,2.0,0.0
4368,Hypericum pulchrum,x,6.4,5.0,3.2,2.4,0.0
4369,Hypericum richeri,7.5,3.8,5.3,2.9,2.3,0.0
4370,Hypericum rumeliacum,8.6,7.2,2.8,7.0,2.5,0.1
4371,Hypericum spruneri,7.0,8.0,7.0,6.0,4.0,0.0
4372,Hypericum tetrapterum,7.4,x,8.0,6.1,4.6,0.3
4373,Hypericum tomentosum,8.0,8.7,7.5,6.5,2.5,0.0
4374,Hypericum trichocaulon,7.0,9.0,4.0,6.0,4.0,0.0
4375,Hypericum triquetrifolium,8.0,9.5,3.5,7.0,5.5,0.0
4376,Hypericum undulatum,8.3,5.5,8.0,4.0,2.7,0.0
4377,Hypochaeris achyrophorus,8.0,9.7,3.0,NA,3.5,0.5
4378,Hypochaeris cretensis,7.3,x,5.0,x,3.3,0.0
4379,Hypochaeris facchiniana,9.0,3.0,4.0,6.0,3.0,0.0
4380,Hypochaeris glabra,8.6,8.0,3.3,3.0,1.8,0.2
4381,Hypochaeris laevigata,6.0,8.0,2.0,7.0,1.0,0.0
4382,Hypochaeris maculata,7.7,5.8,4.2,6.8,2.5,0.0
4383,Hypochaeris radicata,8.1,x,x,4.4,2.8,0.3
4384,Hypochaeris robertia,8.5,4.5,4.5,3.0,1.5,0.0
4385,Hypochaeris tenuiflora,8.0,7.0,4.0,6.0,4.0,0.0
4386,Hypochaeris uniflora,8.2,2.3,4.6,3.0,2.3,0.0
4387,Hypopitys hypophegea,3.5,5.3,5.0,4.5,3.0,0.0
4388,Hypopitys monotropa,x,x,5.0,x,2.5,0.0
4389,Hypopitys monotropa aggr.,3.0,5.0,5.0,5.0,3.0,0.0
4390,Hyssopus officinalis,8.3,x,3.4,7.0,2.8,0.0
4391,Iberis amara,7.3,7.0,4.0,7.8,3.5,0.0
4392,Iberis attica,8.0,11.0,3.0,NA,NA,2.0
4393,Iberis aurosica,9.0,4.0,2.0,7.0,2.0,0.0
4394,Iberis bernardiana,8.0,3.0,4.0,7.0,3.0,0.0
4395,Iberis carnosa,8.0,x,2.5,6.5,1.5,0.0
4396,Iberis ciliata,8.0,8.0,4.0,8.0,5.0,0.0
4397,Iberis linifolia,8.3,6.9,3.5,8.5,2.0,0.0
4398,Iberis pinnata,7.7,6.9,3.7,7.5,6.0,0.0
4399,Iberis saxatilis,8.0,6.3,3.1,7.0,2.0,0.0
4400,Iberis semperflorens,6.0,8.0,3.0,6.0,2.0,0.0
4401,Iberis sempervirens,8.3,x,4.0,x,2.7,0.0
4402,Iberis simplex,8.0,6.3,3.3,NA,NA,NA
4403,Iberis spathulata,8.8,2.8,2.8,7.2,1.3,0.0
4404,Iberis umbellata,8.3,7.1,3.4,7.0,1.0,0.0
4405,Ifloga spicata,NA,12.0,NA,NA,NA,NA
4406,Ilex aquifolium,x,x,5.2,4.0,4.5,0.0
4407,Illecebrum verticillatum,x,6.8,7.2,2.8,2.0,0.0
4408,Impatiens capensis,6.0,6.0,8.0,7.0,6.5,0.0
4409,Impatiens glandulifera,5.6,6.2,7.6,6.5,7.0,0.0
4410,Impatiens noli-tangere,4.1,5.1,6.9,6.7,6.3,0.0
4411,Impatiens parviflora,4.0,5.8,5.4,6.6,6.7,0.0
4412,Imperata cylindrica,8.7,10.0,6.7,7.3,4.7,1.0
4413,Inula aschersoniana,8.4,7.8,3.3,7.4,3.1,0.0
4414,Inula aspera,7.3,5.1,6.1,8.0,3.0,0.0
4415,Inula bifrons,6.5,8.3,3.5,6.0,4.5,0.0
4416,Inula britannica,7.9,x,7.1,7.8,4.8,1.5
4417,Inula candida,8.0,11.0,3.0,8.0,3.0,1.0
4418,Inula conyzae,6.3,5.9,4.0,7.2,3.0,0.0
4419,Inula ensifolia,8.1,6.7,3.3,8.0,2.3,0.0
4420,Inula germanica,7.9,6.6,3.5,8.0,2.3,0.0
4421,Inula helenioides,8.5,7.5,3.0,8.0,x,0.0
4422,Inula helenium,6.7,6.4,5.9,6.3,x,0.0
4423,Inula helvetica,7.0,x,7.3,7.3,7.0,0.0
4424,Inula heterolepis,8.0,11.0,2.0,8.0,3.0,1.0
4425,Inula hirta,6.9,x,3.5,8.0,3.0,0.0
4426,Inula montana,8.3,7.0,2.3,7.7,1.3,0.0
4427,Inula oculus-christi,8.5,7.4,2.8,8.0,2.5,0.0
4428,Inula orientalis,NA,6.0,NA,NA,NA,NA
4429,Inula pseudolimonella,8.0,NA,3.0,8.0,3.0,0.0
4430,Inula sabuletorum,7.5,5.5,5.8,NA,NA,NA
4431,Inula salicina,7.6,5.4,x,8.1,2.6,0.7
4432,Inula salicina aggr.,NA,6.0,NA,NA,NA,NA
4433,Inula spiraeifolia,7.8,7.2,3.3,8.5,2.8,0.0
4434,Inula thapsoides,5.0,5.8,8.3,NA,NA,NA
4435,Inula verbascifolia,9.0,9.0,2.0,9.0,1.0,0.0
4436,Ionopsidium albiflorum,9.0,10.0,2.0,7.0,1.0,0.0
4437,Ionopsidium savianum,7.0,8.0,3.0,2.0,4.0,0.0
4438,Ipomoea imperati,9.0,11.5,2.0,7.0,4.0,3.0
4439,Ipomoea lacunosa,NA,8.0,NA,NA,NA,NA
4440,Ipomoea sagittata,8.5,10.5,5.0,7.5,6.0,4.5
4441,Iris aphylla,7.8,6.3,3.6,6.7,1.7,0.0
4442,Iris boissieri,9.0,6.0,4.0,2.0,1.0,NA
4443,Iris foetidissima,6.0,8.0,4.3,x,4.8,0.0
4444,Iris graminea,6.0,6.8,4.2,7.3,4.0,0.0
4445,Iris halophila,8.0,5.0,5.8,NA,NA,NA
4446,Iris humilis,8.5,8.0,2.5,8.0,1.5,0.0
4447,Iris juncea,9.0,11.0,2.0,6.0,2.0,0.0
4448,Iris latifolia,9.0,5.0,1.0,7.0,1.0,0.0
4449,Iris lutescens,8.0,8.3,3.0,8.0,2.5,0.0
4450,Iris marsica,7.0,5.0,3.0,6.0,3.0,0.0
4451,Iris pallida,7.5,x,3.5,6.8,3.3,0.0
4452,Iris planifolia,7.5,9.5,3.5,4.0,3.0,0.0
4453,Iris pontica,8.0,5.8,4.3,NA,NA,NA
4454,Iris pseudacorus,7.0,5.9,9.4,6.1,6.8,0.3
4455,Iris pseudopumila,8.0,10.0,2.0,4.0,2.0,0.0
4456,Iris pumila,8.8,6.9,2.5,9.0,1.5,0.0
4457,Iris revoluta,9.0,10.0,2.0,6.0,1.0,0.0
4458,Iris sibirica,7.8,5.8,7.4,x,2.6,0.0
4459,Iris spuria,8.5,7.5,7.3,8.0,3.5,2.4
4460,Iris tuberosa,6.7,8.5,4.3,6.3,5.3,0.0
4461,Iris unguicularis,6.5,11.0,3.0,7.0,2.5,0.0
4462,Iris variegata,6.5,7.0,3.3,7.0,3.8,0.0
4463,Iris xiphium,8.5,8.5,x,6.5,2.5,0.0
4464,Isatis allionii,8.4,3.3,3.4,7.3,1.6,0.0
4465,Isatis apennina,9.0,3.0,3.0,7.0,2.0,0.0
4466,Isatis costata,7.5,4.8,4.3,NA,NA,NA
4467,Isatis littoralis,8.5,6.3,3.8,NA,NA,NA
4468,Isatis lusitanica,8.0,11.0,1.0,8.0,7.0,0.0
4469,Isatis praecox,8.3,x,3.5,7.0,2.0,0.0
4470,Isatis tinctoria,8.4,x,3.0,7.7,3.3,0.0
4471,Isatis tinctoria aggr.,9.0,7.0,3.0,8.0,3.0,0.0
4472,Isoetes boryana,7.0,3.0,12.0,4.0,2.0,0.0
4473,Isoetes creussensis,7.0,NA,12.0,NA,NA,0.0
4474,Isoetes durieui,7.5,9.5,9.5,x,2.5,0.0
4475,Isoetes echinospora,7.0,3.6,12.0,5.0,1.4,0.0
4476,Isoetes histrix,8.0,9.3,8.5,5.0,2.3,0.0
4477,Isoetes lacustris,6.8,4.3,11.9,3.8,1.2,0.0
4478,Isoetes longissima,7.4,x,10.3,x,x,0.0
4479,Isoetes malinverniana,7.0,7.0,12.0,4.0,3.0,0.0
4480,Isoetes sabatina,7.0,3.0,12.0,3.0,1.0,0.0
4481,Isoetes setacea,9.0,8.0,8.0,6.0,2.0,0.0
4482,Isolepis cernua,8.0,x,8.3,4.4,2.0,0.0
4483,Isolepis fluitans,8.2,x,10.7,3.4,2.0,0.0
4484,Isolepis pseudosetacea,9.0,7.0,8.0,6.0,4.0,0.0
4485,Isolepis setacea,7.1,x,8.8,4.6,2.6,0.0
4486,Isopyrum thalictroides,4.0,6.0,6.3,6.6,5.8,0.0
4487,Iva xanthiifolia,8.8,7.6,4.0,6.8,6.3,0.0
4488,Jacobaea abrotanifolia,7.3,2.8,4.7,7.0,2.0,0.0
4489,Jacobaea adonidifolia,8.0,4.0,3.0,4.5,2.0,0.0
4490,Jacobaea alpina,7.0,3.0,5.5,8.0,8.7,0.0
4491,Jacobaea ambigua,9.0,10.0,1.0,1.0,1.0,0.0
4492,Jacobaea aquatica,7.4,5.6,7.9,4.9,4.6,0.0
4493,Jacobaea auricula,8.5,9.5,3.2,6.7,3.5,2.1
4494,Jacobaea boissieri,9.0,2.0,3.0,8.0,1.0,NA
4495,Jacobaea borysthenica,8.0,5.0,5.0,NA,NA,NA
4496,Jacobaea candida,9.0,5.0,1.0,7.0,1.0,0.0
4497,Jacobaea carniolica,8.0,1.5,5.0,1.0,1.0,0.0
4498,Jacobaea delphiniifolia,7.0,8.0,3.0,6.0,2.0,0.0
4499,Jacobaea erratica,7.5,x,x,6.2,x,0.3
4500,Jacobaea erucifolia,7.3,6.0,4.4,7.8,4.5,0.2
4501,Jacobaea gibbosa,9.0,10.0,1.0,NA,1.0,0.0
4502,Jacobaea gnaphalioides,8.0,11.0,2.0,8.0,5.0,0.0
4503,Jacobaea incana,8.0,1.7,5.0,1.0,1.0,0.0
4504,Jacobaea insubrica,NA,1.0,NA,NA,NA,NA
4505,Jacobaea lycopifolia,9.0,10.0,3.0,6.0,2.0,0.0
4506,Jacobaea maritima,8.6,8.0,4.2,7.0,5.0,4.3
4507,Jacobaea minuta,9.0,8.0,1.0,6.0,2.0,NA
4508,Jacobaea paludosa,7.0,5.7,8.6,6.5,6.0,0.0
4509,Jacobaea pancicii,NA,NA,6.0,NA,NA,NA
4510,Jacobaea persoonii,9.0,2.0,3.0,1.0,1.0,0.0
4511,Jacobaea racemosa,8.0,5.0,7.0,NA,NA,NA
4512,Jacobaea samnitum,5.0,4.0,5.0,6.0,4.0,0.0
4513,Jacobaea schischkiniana,8.3,5.7,4.1,6.8,1.8,0.2
4514,Jacobaea subalpina,6.5,3.8,7.3,7.0,6.7,0.0
4515,Jacobaea taurica,8.0,4.3,5.3,NA,NA,NA
4516,Jacobaea uniflora,8.5,1.0,4.0,1.0,1.0,0.0
4517,Jacobaea vulgaris,7.8,5.3,3.8,6.6,5.0,0.2
4518,Jasione bulgarica,8.0,3.2,5.5,NA,NA,NA
4519,Jasione crispa aggr.,8.7,1.8,4.0,x,1.2,0.0
4520,Jasione laevis,9.0,x,4.6,2.5,1.5,0.0
4521,Jasione montana,7.6,x,3.2,3.2,1.8,0.0
4522,Jasione orbiculata,9.0,3.0,4.0,2.0,1.0,0.0
4523,Jasminum fruticans,7.9,8.2,3.3,6.3,x,0.0
4524,Jasminum officinale,7.5,8.3,4.5,5.5,3.0,0.0
4525,Jasonia tuberosa,8.5,7.0,x,6.5,3.0,0.0
4526,Jovibarba globifera,8.8,4.9,2.7,7.1,1.3,0.0
4527,Juglans regia,6.1,x,5.3,7.1,6.3,0.0
4528,Juncus acutiflorus,8.4,5.2,8.2,3.8,2.5,0.0
4529,Juncus acutus,8.5,8.8,8.0,7.0,x,3.3
4530,Juncus alpinoarticulatus,8.1,4.1,9.0,6.8,2.0,0.0
4531,Juncus anceps,8.0,5.5,7.8,7.0,3.0,2.7
4532,Juncus arcticus,7.5,2.3,8.3,6.5,3.0,0.0
4533,Juncus articulatus,8.0,x,8.6,5.4,3.0,0.9
4534,Juncus atratus,7.8,6.4,8.4,7.3,3.3,0.3
4535,Juncus balticus,8.3,3.3,8.5,3.8,1.8,0.7
4536,Juncus biglumis,9.0,1.0,9.0,8.0,2.0,0.0
4537,Juncus bufonius aggr.,x,x,x,x,x,1.0
4538,Juncus bulbosus,7.4,5.5,9.4,4.0,2.4,0.2
4539,Juncus capitatus,8.1,x,x,x,2.0,0.4
4540,Juncus castaneus,8.0,2.0,8.3,x,2.0,0.0
4541,Juncus compressus,8.1,5.2,x,6.6,4.7,1.3
4542,Juncus compressus aggr.,8.0,5.5,8.0,7.0,5.0,3.0
4543,Juncus conglomeratus,7.7,5.3,7.6,4.4,3.6,0.2
4544,Juncus effusus,7.4,x,8.0,4.5,3.8,0.1
4545,Juncus filiformis,7.3,3.8,8.8,4.2,3.4,0.0
4546,Juncus foliosus,8.3,7.5,8.0,6.0,5.3,1.0
4547,Juncus fontanesii,8.0,8.0,8.0,6.0,5.0,0.0
4548,Juncus gerardi,8.0,5.6,7.0,7.1,5.0,5.6
4549,Juncus heldreichianus,7.0,11.0,8.0,8.0,6.0,NA
4550,Juncus heterophyllus,7.7,6.0,10.3,3.7,3.0,0.0
4551,Juncus inflexus,7.5,x,7.5,7.1,4.8,0.7
4552,Juncus jacquinii,8.5,2.3,4.3,2.0,2.0,0.0
4553,Juncus littoralis,9.0,9.5,8.0,8.0,7.0,5.5
4554,Juncus maritimus,8.3,x,7.2,7.7,x,5.3
4555,Juncus monanthos,8.7,2.0,5.0,x,2.7,0.0
4556,Juncus pygmaeus,9.0,7.2,x,4.3,2.2,0.0
4557,Juncus requienii,8.0,4.0,8.0,3.0,2.0,0.0
4558,Juncus rigidus,2.0,7.0,8.0,8.0,3.0,3.0
4559,Juncus sorrentinii,9.0,8.0,8.0,6.0,1.0,3.0
4560,Juncus sphaerocarpus,8.0,7.3,7.5,x,3.0,0.2
4561,Juncus squarrosus,7.9,4.8,x,1.5,1.7,0.0
4562,Juncus striatus,8.0,8.0,8.0,5.5,4.5,0.0
4563,Juncus stygius,8.0,4.5,9.0,4.0,3.0,0.0
4564,Juncus subnodulosus,8.0,5.9,8.3,8.1,3.6,1.0
4565,Juncus subulatus,8.7,10.0,8.3,7.7,6.0,3.3
4566,Juncus tenageia,8.1,6.3,7.2,4.3,3.7,0.0
4567,Juncus tenuis,5.9,5.4,6.2,5.0,4.8,0.0
4568,Juncus thomasii,8.0,8.0,8.5,6.0,5.0,0.0
4569,Juncus tingitanus,9.0,9.0,8.0,6.0,3.0,3.0
4570,Juncus trifidus,8.4,1.9,4.2,2.8,1.8,0.0
4571,Juncus triglumis,8.0,3.1,8.6,6.5,2.3,0.0
4572,Juniperus communis,8.1,3.8,x,x,2.6,0.0
4573,Juniperus excelsa,8.0,5.8,4.0,NA,NA,NA
4574,Juniperus foetidissima,8.0,5.8,4.3,NA,NA,NA
4575,Juniperus oxycedrus aggr.,8.3,x,3.1,6.9,2.6,0.5
4576,Juniperus phoenicea,8.2,8.9,2.7,x,3.2,0.5
4577,Juniperus sabina,7.7,4.2,3.0,x,2.0,0.0
4578,Juniperus thurifera,8.3,7.0,2.7,6.7,1.7,0.0
4579,Jurinea arachnoidea,8.5,5.3,4.5,NA,NA,NA
4580,Jurinea bocconei,9.0,5.0,2.0,9.0,2.0,0.0
4581,Jurinea calcarea,8.5,5.3,4.5,NA,NA,NA
4582,Jurinea consanguinea,8.0,11.0,4.0,8.0,5.0,0.0
4583,Jurinea cyanoides,7.5,7.5,2.0,7.0,2.0,0.0
4584,Jurinea ewersmanii,7.5,4.8,4.5,NA,NA,NA
4585,Jurinea humilis,8.5,4.5,3.5,7.5,1.0,0.0
4586,Jurinea kilaea,8.3,7.5,3.4,7.2,2.8,0.7
4587,Jurinea ledebourii,8.0,5.0,5.5,NA,NA,NA
4588,Jurinea longifolia,8.5,5.3,4.8,NA,NA,NA
4589,Jurinea mollis,7.7,7.3,2.7,8.3,2.3,0.0
4590,Jurinea multiflora,8.5,5.0,3.5,NA,NA,NA
4591,Jurinea roegneri,8.0,5.5,4.8,NA,NA,NA
4592,Jurinea salicifolia,7.5,5.3,5.8,NA,NA,NA
4593,Jurinea stoechadifolia,8.5,5.4,4.4,NA,NA,NA
4594,Jurinea transylvanica,8.0,6.5,3.5,8.1,2.0,0.0
4595,Kernera saxatilis,9.0,3.6,2.8,8.3,1.5,0.0
4596,Kickxia cirrhosa,7.0,8.0,4.0,1.0,1.0,0.0
4597,Kickxia commutata,8.0,7.0,4.0,4.5,5.0,0.0
4598,Kickxia elatine,7.4,x,4.2,6.5,x,0.1
4599,Kickxia lanigera,7.5,11.0,6.0,7.0,x,0.0
4600,Kickxia spuria,7.4,x,4.2,6.8,x,0.1
4601,Klasea cretica,6.0,11.0,3.0,8.0,6.0,0.0
4602,Klasea erucifolia,8.0,5.3,4.8,NA,NA,NA
4603,Klasea flavescens,7.3,6.5,5.1,6.0,4.0,0.0
4604,Klasea lycopifolia,7.3,x,3.7,7.0,3.7,0.0
4605,Klasea nudicaulis,9.0,4.5,2.7,7.3,1.7,0.0
4606,Klasea radiata,8.1,6.6,3.4,9.0,1.0,0.0
4607,Knautia arvensis,7.1,5.5,4.1,6.5,3.7,0.0
4608,Knautia arvensis aggr.,7.0,6.0,4.0,6.0,4.0,0.0
4609,Knautia arvernensis,8.0,3.5,3.0,5.0,3.0,0.0
4610,Knautia baldensis,6.0,4.0,4.0,6.0,3.0,0.0
4611,Knautia basaltica,7.0,3.0,5.0,6.0,5.0,0.0
4612,Knautia calycina,7.0,4.0,3.0,6.0,2.0,0.0
4613,Knautia carinthiaca,NA,5.0,NA,NA,NA,NA
4614,Knautia dinarica,6.0,5.0,6.0,3.0,4.0,0.0
4615,Knautia dipsacifolia,6.0,4.2,6.0,6.8,4.3,0.0
4616,Knautia drymeia,5.3,6.2,5.0,6.3,5.0,0.0
4617,Knautia fleischmannii,NA,6.0,NA,NA,NA,NA
4618,Knautia godetii,7.0,3.5,5.0,6.0,5.0,0.0
4619,Knautia gussonei,6.0,7.0,4.0,7.0,5.0,0.0
4620,Knautia illyrica,6.0,7.0,4.0,7.0,3.0,0.0
4621,Knautia integrifolia,7.0,9.0,3.5,7.0,5.5,0.0
4622,Knautia kitaibelii,8.0,5.0,3.5,7.5,2.5,0.0
4623,Knautia lebrunii,7.0,3.0,5.0,5.0,5.0,0.0
4624,Knautia leucophaea,NA,6.0,NA,NA,NA,NA
4625,Knautia longifolia,8.0,3.5,5.0,3.0,4.0,0.0
4626,Knautia lucana,4.0,5.0,5.0,3.0,4.0,0.0
